,1. How old are you ?,2. What is your current occupation?,3. How familiar are you with blockchain technology? ,4. How familiar are you with the concept of tokenization?,5. To what extent do you agree that Venture Capital Investment is accessible?,6. To what extent do you agree that tokenization will create new investment opportunities in the venture capital industry?,7. To what extent do you agree that tokenization will reduce the barriers to entry for venture capital investments?,"8. In your opinion, what impact will tokenization have on the liquidity of venture capital investments?",9. To what extent do you agree that tokenization will bring more innovation to the venture capital industry?,10. How do you see the future of tokenization and blockchain technology in the venture capital industry?,11. How do you think the adoption of tokenization will affect the traditional venture capital industry?,12. To what extent do you agree that the use of smart contracts will improve investment transparency?,13. To what extent do you agree that tokenization will eventually replace traditional forms of investment?,14. What kind of blockchain related investment have you done/led?,"15. To what extent do you agree with the statement: ""Investing in a token of a blockchain or a project contributes to its development and success""?","16. In your opinion, what is the biggest advantage of using tokenization in the venture capital industry?",17. What do you think are the biggest challenges to widespread adoption of tokenization in the venture capital industry?,18. How do you think tokenization affects the risk profile of an investment in a blockchain project?,19. How many new startups and innovative projects do you believe have been created as a result of the increased use of tokenization in venture capital investments?,"20. In your opinion, what are the disadvantages of tokenization in venture capital investments? (Select all that apply)"
,25-34,Startup Founder,Somewhat familiar,Somewhat familiar,Neutral,Neutral,Neutral,No Impact,Neutral,Will coexist with traditional investments,Will complement the industry,Neutral,Neutral,Serie A,Neutral,Not sure,Not sure,Decreases the risk,Many,Lack of investor protection
,25-34,Student,Very familiar,Somewhat familiar,Agree,Strongly Disagree,Agree,Decrease in liquidity,Agree,Will become the dominant form of investment,Will have no effect on the industry,Agree,Strongly Disagree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Increase investment ,Decline in value of paper money ,Decreases the risk,Many,Complexity
,35-44,Venture Capitalist,Very familiar,Somewhat familiar,Agree,Agree,Agree,Not sure,Disagree,Will be a passing trend,Will complement the industry,Disagree,Neutral,"Regular Token Investement (ETH, BTC, etc.)",Neutral,Not sure ,Lack of investor protection ,Not sure,A significant amount,Regulatory uncertainty
,35-44,Startup Founder,Somewhat familiar,Very familiar,Agree,Agree,Strongly agree,Decrease in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Disagree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Disagree,It will increase the level on investment for sure ,Fraudulent acts by scammers ,Neutral,Many,Volatility
,18-24,Student,Very familiar,Somewhat familiar,Agree,Agree,Agree,Decrease in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Neutral,ICO (Initial Coin Offering),Strongly Agree,Will disrupt the industry,Increase in trading ability,Decreases the risk,Many,Regulatory uncertainty
,25-34,Venture Capitalist,Not familiar,Not familiar,Neutral,Neutral,Strongly agree,Slight increase in liquidity,Agree,Will be a passing trend,Will complement the industry,Strongly agree,Strongly Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,Increase innovation level ,Not sure ,Increases the risk,A significant amount,Lack of investor protection
,25-34,Student,Very familiar,Very familiar,Agree,Strongly agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Agree,It helps PCI compliance,Fraud,Not sure,Some,Volatility
,25-34,Venture Capitalist,Somewhat familiar,Somewhat familiar,Agree,Agree,Agree,Slight increase in liquidity,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,ICO (Initial Coin Offering),Agree,Value and volatility,Cyber hacking,Neutral,Many,Regulatory uncertainty
,18-24,Student,Very familiar,Very familiar,Strongly Agree,Agree,Strongly agree,Significant increase in liquidity,Strongly Agree,Will become the dominant form of investment,Will disrupt the industry,Strongly agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Strongly Agree,Credit card is secure,Value and volatility,Decreases the risk,A significant amount,Regulatory uncertainty
,45-55,Investor,Very familiar,Very familiar,Strongly Agree,Strongly agree,Agree,Significant increase in liquidity,Strongly Agree,Will coexist with traditional investments,Will complement the industry,Strongly agree,Neutral,ICO (Initial Coin Offering),Strongly Agree,Increase efficiency,Disclaimer,Neutral,Many,Theft and hacking
,18-24,Student,Somewhat familiar,Somewhat familiar,Agree,Agree,Neutral,Not sure,Agree,Will coexist with traditional investments,Will complement the industry,Agree,Agree,"Regular Token Investement (ETH, BTC, etc.)",Neutral,It builds customer trust ,Lack of proper regulation,Decreases the risk,Many,Volatility
